"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 19:22:59 GMT 2022","Tue Sep 13 19:23:00 GMT 2022","1544","","My Login 3 application","","My Login 3 application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 13 19:22:57 GMT 2022","Tue Sep 13 19:22:59 GMT 2022","1546","","My Login 2 application","","My Login 2 application","should login with valid credentials","should login with valid credentials",""
"failed","Tue Sep 13 19:22:17 GMT 2022","Tue Sep 13 19:22:57 GMT 2022","40354","","My Login 1 application","","My Login 1 application","should login with valid credentials","should login with valid credentials",""
"failed","Tue Sep 13 19:23:00 GMT 2022","Tue Sep 13 19:23:22 GMT 2022","21607","","My Login 4 application","","My Login 4 application","should login with valid credentials","should login with valid credentials",""
