"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 14 15:29:11 GMT 2022","Wed Sep 14 15:29:45 GMT 2022","34116","","My Login 1 application","","My Login 1 application","should login with valid credentials","should login with valid credentials",""
"failed","Wed Sep 14 15:29:48 GMT 2022","Wed Sep 14 15:30:09 GMT 2022","21515","","My Login 4 application","","My Login 4 application","should login with valid credentials","should login with valid credentials",""
"passed","Wed Sep 14 15:29:46 GMT 2022","Wed Sep 14 15:29:48 GMT 2022","1478","","My Login 3 application","","My Login 3 application","should login with valid credentials","should login with valid credentials",""
"passed","Wed Sep 14 15:29:45 GMT 2022","Wed Sep 14 15:29:46 GMT 2022","1542","","My Login 2 application","","My Login 2 application","should login with valid credentials","should login with valid credentials",""
"failed","Wed Sep 14 15:30:09 GMT 2022","Wed Sep 14 15:30:31 GMT 2022","21534","","My Login 5 application","","My Login 5 application","should login with valid credentials","should login with valid credentials",""
